ja	en	zh-tw	zh-cn
浅草のあたりには、割とよく来るんだ。ここの近くに、遊園地があるからな。あそこのヒーローショーは、結構見物だぞ？	"Asakusa's one of my favorite places to hang out. There's an amusement park around here, yeah? The live ranger shows there are sweet!"	"我還滿常來淺草這裡的，因為這附近有個遊樂園，
那裡上演的英雄秀可相當精彩喔？"	"我很常来浅草这一带。因为这附近有个游乐园。
那里的英雄舞台剧还挺好看的。"
ヒーローショーに欠かせないのは、応援の声だ。クリスマスの時の試合なんかもそうだったが、ヒーローってのは、応援されると一層輝けるのさ。	"You can't have a ranger show without the crowd. You remember that Christmas showdown, right? Rangers shine brightest when they're being cheered on!"	"英雄秀最不可或缺的就是加油聲，
聖誕節比賽時也是這樣，
只要有大家的聲援，英雄就會綻放更強大的光芒喔。"	"英雄舞台剧最不可缺的就是助威的声音。
圣诞节那时的比赛也是这样，
英雄得到大家的鼓舞会变得更耀眼。"
何があったか知らないが、元気出せ。な？その……涙はお前に似合わないと……思うし……。何だよ、笑うなッ！<br>これでも必死で……ッ！	"I don't really know what happened, but I don't like seeing you crying like that. Why don't you smile for me? C'mon, just try!"	"雖然我不知道發生了什麼事……打起精神來吧，好嗎？
那個……因為我覺得……淚水不適合你……
什麼啊，別笑！我也是很努力才說出這番話啊……！"	"虽然不知道你遇到了什么事……但你要打起精神。
因为……我觉得眼泪……不适合你……
干什么，不许笑！我可是很努力的想要安慰你啊……！"
ああ、少しずつだが、前に進んでるよ。お前たちが……「友達」が教えてくれたことは……今でも、オレの心の支えになってるんだ。	Even the smallest step still moves you forward. I'll never forget what you... What all my friends taught me.	"啊，雖然只有一點，但我還是有在前進，
因為你們……你們這些「朋友」教導給我的事……
一直到現在都是我的內心支柱。"	"啊，尽管很慢，但我的确在向前走。
你们……“朋友们”教会我的东西……
现在也一直在支持着我的内心。"
アイツの自信家ぶりは、正直見習いたいとこだ。いや、アレは行き過ぎてるっちゃ行き過ぎてるが……オレが自信無さすぎるからか、少し眩しく見える。	"I wish I could be as confident as Licho. I know it's all hot air, and he sometimes takes it too far, but... Well, for someone super self-conscious like me, it's still inspiring to see."	"老實說，我非常想學習那傢伙有自信的一面，
不，雖然那是有點自信過頭了……
不過或許是因為我太沒有自信，在我眼中那非常耀眼。"	"那家伙真有自信，我也想学学他。
不，那的确是有点过度了……
不过或许是我太缺乏自信了，让我觉得有点耀眼。"
な、なんだこの気配……悪い子じゃ、ないよな？　見方によって正義と悪は入れ替わるとは言うが……いや、性格は確かに熱血レッドなんだが……むう。	"Weird. Doesn't seem like Sanat counts as naughty to me. I know they say good and evil's just about perspective, but... Huh, maybe someone that hot-blooded just doesn't figure on the scale."	"這、這是什麼感覺……應該不是壞孩子吧？
雖然依不同的觀點，正義和邪惡可說是互為表裡……
不對，從個性來看他的確是熱血紅色……唔。"	"这、这股气息是……应该不是坏人吧？
看的角度不同，正义与邪恶也许会反过来……
性格倒是像热情洋溢的红战士一样……唔。"
ひあっ！？　お、お前なぁ！　急に尻尾なんて触るから、変な声が出ただろ！？<br>うう、恥ずかしい……死にたい……。	"E-E-Ey! You! Hands off the tail, it makes me yelp! Ugh, I can't take this. I just wanna disappear!"	啊！？……你、你這傢伙！都是因為你突然摸我的尾巴，我才會發出奇怪的聲音啊！？嗚嗚，好丟臉……好想死……	呀！？你、你这人！突然碰我的尾巴，害我喊出声来了！？啊啊，好难为情……想死……
ハロウィンの悪戯はまあ……ある程度は、大目に見ることになってるんだ。そうでもしないと、クリスマスにオレ達が大忙しになるからな。	"I'm willing to turn a blind eye to Halloween pranks. Well, up to a point, anyway. If I didn't, I'd be a lot busier come Christmas..."	"關於萬聖節的惡作劇……我已經某種程度網開一面了，
因為如果不這麼做的話，聖誕節時我們可會忙翻的啊。"	"对于万圣节的恶作剧……一般我都不会放在心上。
不然到了圣诞节我们可就有的忙了。"
あ！？　何だ、イタズラしにきたのか！？ああ、アイテムの交換か……すまない。<br>やっぱハロウィンは色々と、落ち着かないなぁ……。	"Bwah?! C-Come to trick me, have you? Oh, you're just here for the items. Geez, this Halloween madness sure has me on edge."	"啊！？什麼，你是來惡作劇的嗎！？啊，是來交換道具的嗎……抱歉。
果然萬聖節我就是冷靜不下來……"	"啊！？怎么了，是来恶作剧的吗！？啊，来换道具的吗……抱歉。
万圣节果然让人静不下心来……"
やれやれ、とんでもないハロウィンだったな。でも、その……お前とまた一緒に戦えたこと、オレは少し……いや、とても、嬉しかったぞ。	"Yeesh, this Halloween was nuts. But being able to fight alongside you was a real treat for me."	"啊啊，真是個了不起的萬聖節啊，
不過，那個……能再次和你並肩作戰，讓我有點……
不對，是非常，讓我非常高興喔。"	"真是的，这万圣节真是不得了。
但是……能再次跟你并肩作战，我有点……
不，我非常高兴。"
亡者蔓延る舞台とくりゃあ、あっしがお役に立つ機会！　単純馬鹿の面目躍如ってやつでさぁ！	"This undead infestation's gonna be my big break, boss! I'll show ya once and for all how brawn trumps brains!"	"既然是死者橫行的舞台，那就是我大顯身手的機會！
這就是單純笨蛋的絕佳舞台！"	"这充满亡者的舞台正是我大显身手的机会！
让单纯的笨蛋名声大振的好机会！"
逝っちまった奴らが還ってくる日かぁ。……あっしを残してったおっかあや、昔の親分に……また逢いてえもんだなァ。	"A day when the dead come back, huh? You know, I miss my mom and my old boss. Maybe I'll get to see 'em again..."	"是逝去之人回到陽間的日子嗎？
丟下我離開的媽媽，還有以前的老大……
我好想見到他們啊。"	"死人复活的日子吗？
不知能不能遇到……留下我的母亲和
以前的老大呢？"
どうしたんでさあ親分？　らしくねえや！死んでもあっしがついてるからよ。<br>三界（さんがい）・六道、どこまでもお供しやすぜ！	"What's up, boss? You ain't lookin' yourself! I'll stick with ya through life, through death, and through all the afterlives you can name!"	"你怎麼了，老大！？這一點都不像你！
至死我都會追隨你，
不管是三界、六道的盡頭我也會隨侍左右！"	"老大你怎么了！？这样一点都不像你！
就算死，我也会跟随你的。
三界・六道，去哪都跟你在一起！"
おっかあとは死に別れてよ、そのあと出会ったお人とも……。　だから親分。どうかあっしを一人にしないどくれよォ！	"Losin' my mom was only the start of it. I've gone an' lost so many friends in my life... So boss, you can't ever, ever leave me!"	"我和媽媽死別，之後相遇的人也都分離……
所以老大，你可別丟下我一個人喔！"	"我母亲已经去世了，在那之后遇到的人也是……
所以老大，请你不要留下我一个人！"
うひゃぁっ！　そこはあっしの弱いとこですぜ！　親分だからいいけどよ。他のやつだったら、思わずぶっ殺してるところでさあ。へへっ。	"Eep! That's my weak spot! I don't mind if you do it, boss... but if anyone else tried that, I'd pound 'em into tomorrow!"	"哇啊！那裡是我的弱點啊！
既然是老大就算了，如果是其他傢伙，
我可能馬上就讓他們給昇天了。哈哈。"	"呀啊！那里是我的弱点！
是老大所以还好。如果是其他人的话，
说不定我就忍不住宰了他了。哈哈。"
あいつは、あっしのおっかあを喰いやがった野郎にようく似てるぜ……。妙に賢けぇところも……ああ、似てやがる。	"He looks just like the beast that ate my mom, boss. He's just as crafty, too. I can barely tell 'em apart!"	"那傢伙……和吃了我媽媽的傢伙非常像啊……
莫名聰明的地方也是……非常相像。"	"他……跟吃了我母亲的家伙很像……
还有那意外精明的地方也是……啊啊，真的很像。"
悪い子はオシオキだぁ？　へッ！　できるモンならやってみな、ってな！<br>もっとも、あっしは良い子ですがね。<br>ねっ親分？	"He punishes naughty kids? But I'm a good kid, ain't I, boss? Shame, I was hopin' to throw down!"	"什麼壞孩子就要懲罰啊？嘖！辦得到的話就來懲罰我啊！
不過我本來就是好孩子了，對吧，老大？"	"坏孩子就要受罚？切！有本事就试试看！
不过，我可是个好孩子。对吧，老大？"
いやあ、世界ってな広いもんだぜ。死んでも仕えられるなんぞ、思いもせなんだ。<br>あっしもそうして……ねっ、親分？	"It's a great big world out there, ain't it? Imagine servin' someone even in death. Makes you wanna try it, right, boss?"	"啊啊，世界真是遼闊啊，
都沒想到死後還能陪伴你左右，
我也好想那樣做……對吧，老大？"	"这世界还真大啊，
没想到死了也能为别人所用，
我也想变成那样啊……对吧，老大？"
らっしゃい！　あっしは細けえ勘定はわかんねえ。だから全部持ってっておくんな！え、ダメだって？　ハッ！　真面目だなあ親分は！	"Welcome! Math ain't my strong point, so just go ahead and help yourself! Huh? You can't do that? Aww, you're such good people, boss!"	"歡迎光臨！我完全不會算帳，
所以你就全部拿走吧！啊？你說不行這樣嗎？
哈！老大還真是認真啊！"	"欢迎光临！我不会算数。
所以你们就全都拿走吧！啊？你说不行？
哈！老大你太较真了！"
嗚呼、今回も生き残っちまったが、なんとも愉快な出しモンだったぜ。<br>ささ親分。あっしらの歌舞伎町へ、帰りやしょうや。	"Phew, we lived through another day! Ain't that great? Well, boss, I'll be headin' back to Kabukicho!"	"啊，雖然這次也倖存下來，不過這還真是有趣的活動啊，
好了，老大，我們也快回到我們的歌舞伎町吧。"	"啊，这次也活下来了，这次活动真有意思。
好了，老大，我们回歌舞伎町去吧。"
"オレより強えーやつセンサーに反応アリーッ！
あーーーーははははははははぁーーーーッ
そーれ、突貫（ブッコミ）－っ！"	My Fray-dar's going wild! Ahahahahahaha! Time to chaaaarge!	"我的比我強傢伙感測器有反應了～！
啊～～～～～哈哈哈哈哈哈哈哈～～～～
看我的，突擊～！"	"比我更强的家伙感应器有反应了！
啊～～～～哈哈哈哈哈哈哈哈～～～～
突击～！"
"スカートってさ、マジカワいくて最強でしょ？
だからオレに一等似合う、ってことなんだよね
先輩もそう思うでしょー、あーははは！"	"Hey, isn't my skirt uber cute? That's why it's just perfect for me! Don'tcha think so too? Ahahaha!"	"裙子真是最強又可愛吧？
所以這個最適合我了，
前輩你也是這麼想的吧？啊～哈哈哈！"	"是不是觉得裙子又可爱又厉害？
所以最适合我了，
前辈你也是这样想的吧，哈哈哈！"
"ほらほら先輩、オレの後ろに乗っけてあげる！
やなことめんどくせーこと、ぜんぶぜーんぶ
スピードの向こう側に置いてっちゃおうぜ！？"	"Heya, heya! Climb on my back, I'll give you a ride! We'll go so fast we'll leave all our troubles in the dust!"	"來來，前輩，你就坐在我後面吧！
麻煩的事情還有討厭的事情，
我都能用速度來淡忘一切喔！？"	"前辈快来，骑到我背后！
把不开心的事和麻烦事全都
甩到速度的另一边吧！"
"え、オレが男か女なのかって…
ちげーってナタちゃんはナタちゃんなのー
ったくそんなんじゃこの先についてこれねーよ？"	"Huh? Am I a girl or a boy? Neither, silly! I'm Nezha! Jeez, don't tell me you got all confused over something so simple!"	"啊？你問我到底是男生還是女生……
才不是，我就是我啊，
真是，這樣的話你今後也跟不上我的腳步喔？"	"啊？你问我是男是女……
我就是我啊，
你这都搞不懂怎么跟上我？"
"あはっ、あははっ、くすぐってーって！？
それっ、オレの「核」だってば！？
マジヤバいって、先輩、あーははははっ"	"Ahaha! Ahahahaha! H-Hey, that tickles! No fair, that's my core! Anywhere but there! Ahahahahah!"	"啊哈、啊哈哈，很癢耶～！？
那裡是我的「核心」啦！？
真的不行啦，前輩，啊～哈哈哈哈。"	"啊哈，啊哈哈，好痒！？
这是我的“核”！？
要笑死我了，前辈，啊哈哈哈哈。"
"あーーーはははっ、さっすが、ハヌマン先輩！
これ位でブッ壊れるほどヤワじゃないよね
ほら、もっともっと遊ぼーぜー！？"	"Ahahahaha! That's Hanuman for you! I knew you wouldn't go down that easily! C'mon, let's play some more!"	"啊～～～哈哈哈，真不愧是哈奴曼學長！
不會因為這點程度就壞掉啊～
好，我們再繼續玩吧～！？"	"啊～～～哈哈哈，不愧是哈奴曼前辈！
你不可能这么轻易就坏掉吧？
来，我们继续玩！？"
"むむッ、オレのぜってーブッ壊すやつセンサーに反応アリ！
もしかして先輩ってば龍…だったりしちゃう？"	My Fray-dar's picked up someone strong nearby! Ahahahaha! Don't tell me you've got a dragon inside ya!	"哦哦，我的絕對破壞感測器有反應了！
前輩……你該不會是龍吧？"	"哦哦，绝对要破坏的家伙感应器有反应了！
难道前辈……你是龙？"
"ひゃーっ、マジヤバに盛り上がってんじゃん？
ナタちゃんの最速伝説キメちゃうチャンス！
最ッ高にテンション上がって来ちゃったぜー"	"Whoooo, you're pretty worked up! This is my chance to prove that Nezha's the fastest in history! I'm so hyped!"	"哈哈～氣氛真是太熱烈了，
這是我創下最快傳說的絕佳機會！
我的興致來到最高點啊～"	"哈哈，看来已经彻底炒热起来了啊。
是创下我最高速传说的好机会！
我现在兴奋到了极点。"
"さー、戦争開始開始ーっ！
今回こそ、先輩より戦果集めてやんだから
だーかーらー…バッチリ覚悟しろよね？"	"Hey, let's fight, let's fight! This time I'll score more than you for sure! I'm ready when you are!"	"來吧～開始戰爭了～！
這次我一定要得到比前輩更豐盛的戰果，
所以……前輩可要做好覺悟喔？"	"来吧，战争开始了！
我这次一定要拿出比前辈还厉害的战果，
所以……你给我做好心理准备。"
"はー、すっげー楽しかったぁ！
やっぱ集団戦だよなー戦争だよなー！
はーやく次のもこねーかなー！？"	"Whoo, that was a blast! There's nothing like a big team battle to round out your day! Let's go another round real soon, okay?"	"啊～真是太好玩了！
果然就是要集體戰鬥，就是要戰爭啊～！
下次怎麼不快點來呢！？"	"啊，真是太开心了！
果然是要来一场团体战，来一场战争才行！
下一场能不能快点来呢！？"
ハーロット	Babalon	赫洛特	赫洛特
テツギュウ	Tetsuox	鐵牛	铁牛
サナト・クマラ	Sanat Kumara	薩納特·庫馬拉	萨纳特·库马拉
クランプス	Krampus	坎卜斯	克朗普斯
リチョウ	Licho	李徴	李征
ナタ	Nezha	哪吒	哪吒
カードボーナス	Card Bonus	卡片優惠	卡片奖励
AR装備ボーナス	AR Equipment Bonus	AR裝備優惠	AR装备奖励
ALLを選択した場合、ボーナス値は表示されません	"If ALL is selected, the bonuses will not be displayed"	選擇ALL時，將無法顯示獎勵	选择ALL时，将无法显示奖励。
上限まで一括選択	Selecione todos os itens possíveis	全部選擇到最大化等級	全选至最大值
長押しでメニュー表示	Pressione e segure para mudar o tipo de item	長按後，將顯示MENU	长按后，将显示MENU
経験値	XP	經驗值	经验值
HPの種	HP Seed	HP的種子	HP种子
ATKの種	ATK Seed	ATK的種子	ATK种子
経験値の上限まで一括選択します	Select all possible XP boosts	全部選擇至經驗值上限	全选至经验值上限
HPの種を上限まで一括選択します	Select all possible HP Seeds	全部選擇至HP的種子上限	全选至HP的种子上限
ATKの種を上限まで一括選択します	Select all possible ATK Seeds	全部選擇至ATK的種子上限	全选至ATK的种子上限
イベントボーナス	Bônus de Evento	活動優惠	活动奖励
ニャンと！福祭の幻世奇術	ニャンと！福祭の幻世奇術	ニャンと！福祭の幻世奇術	ニャンと！福祭の幻世奇術
あつめてハッピーパワー！	あつめてハッピーパワー！	あつめてハッピーパワー！	あつめてハッピーパワー！
もぎって満員御礼！	もぎって満員御礼！	もぎって満員御礼！	もぎって満員御礼！
所属	Affiliation	隸屬	隶属
学園	School	學園	学园
ギルド	Guild	公會	公会
会話4	Conversation 4	會話4	会话4
開店	Store Open	開店	开店
閉店	Store Close	關店	关店
タッチ	Touch	點擊	点击
会話3	Conversation 3	會話3	会话3
励まし	Encouragement	鼓勵	鼓励
イベント1	Event 1	活動1	活动1
イベント2	Event 2	活動2	活动2
人間関係1	Relationship 1	人際關係1	人际关系1
人間関係2	Relationship 2	人際關係2	人际关系2
会話1	Conversation 1	會話1	会话1
会話2	Conversation 2	會話2	会话2
タイトル	Title	標題	标题
攻撃	Attacking	攻擊	攻击
移動	Movement	移動	移动
チャージスキル	Charge Skill	必殺技	必杀技
ダメージ大	Damage (Major)	傷害大	伤害大
ダメージ小	Damage (Minor)	傷害小	伤害小
スキル	Skill Activation	技能	技能
撤退	Defeat	撤退	撤退
バトル開始	Start of Battle	戰鬥開始	战斗开始
バトル勝利	Victory	戰鬥勝利	战斗胜利
召喚	Summon	召喚	召唤
告白	Love	告白	告白
エンジェル	エンジェル	エンジェル	エンジェル
ハロウィンのお札集め！	Gather Halloween Talismans!	萬聖節的符咒收集！	万圣节符纸收集！
ハロウィンのおこし集め！	Gather Halloween Rice Cakes!	萬聖節的糖果收集！	万圣节米花糖收集！
何か悩んでいるのか？　オレでいいなら相談に乗るぞ？　その……お前は笑顔なのが一番可愛い、し……。ああっ！　何言ってるんだオレェ……！	"Is something bothering you? If you wanna talk about it, I'm always willing to lend an ear, y'know? I like listening to you, looking at how cute you are when you smi... Aaargh! What am I even saying?!"	你在煩惱什麼呢？如果可以的話，可以說給我聽聽喔？那、那個……你的笑容是最可、可愛的……。啊啊！到底在說什麼啊我……！	你在烦恼什么？可以说给我听听哦？那个……你的笑容可是这世上最可爱的……。啊、啊！我到底在说些什么啊我……！
特撮ヒーローものってさ、案外奥が深いんだ。子供を喜ばす仕掛けが、いっっっぱい詰まってて！　オレも一度くらい作れないかな……子供の、笑顔……。	There's a lot more to ranger shows than meets the eye. They are chock full of tricks and magic to make children happy. I wonder if I'll be able to do something like that one day... Make a child smile.	特攝英雄秀要說的話可說是意外的有深度啊。要讓大量放入孩子們喜歡的橋段！不知道我哪天也可不可以做出來呢……為了孩子們的笑容……	英雄舞台剧可说是非常奥妙的啊。要想一堆让孩子们开心的内容！不知何时我才能做出来呢……为了孩子们的笑容。
オレを見て、ビクつかなかったヤツは、あいつが初めてなんだ……。本当に、いい後輩さ。……部屋の鍵の閉め忘れとか、少し何とかしてほしいが。	"Yule is the first one to see my face and not go pale as a ghost. Yep, I couldn't have asked for a better roommate. Although, I wish he'd remember to lock the door when he leaves..."	看到我不覺得害怕的傢伙他可是第一個啊……真的，是個很棒的後輩呢……雖然我蠻希望他改掉忘記鎖門的壞習慣啊。	看见我完全不害怕的家伙他可是第一个啊……没有他这么好的后辈了啊。……虽然我很希望他可以改掉忘记关门的坏习惯啊。
お前の友達さ……ほら、あの太っちょの。少しお節介が過ぎるけど、いいヤツだな。ヨウルがよく話題に出すの、分かる気がするよ。	"That friend of yours, the chubby one, is a bit nosey, huh? But he's still a good guy, I think. Heh, now I get why Yule keeps talking about him."	你的朋友……就是那個胖胖的那位。雖然有點太愛管事，但是個好人呢。尤爾經常提到他的事情，現在我大概也能體會到了呢。	你那个朋友……就是胖胖的那位。虽然有点爱管闲事，但是是个好家伙呢。尤尔可是经常提到他的事，现在我也能体会到了。
うっ……！？　なっ、何だよいきなり……フードを引っ張るな、くすぐるなっ！<br>オレ、そういうのホントに弱……ひいっ！	"H-Huh?! What are you—Hey, cut that out! Don't pull on my hood, and stop tickling me there! You know how I get when someone tickles m—Ayayai!"	嗚啊……！？ 做、做什麼啊！不要突然間掀我的帽子啊！也不要這樣逗弄我啊！我、我最怕那……啊啊啊！	啊啊……！？ 你干什么呢，突然间！……别拉我的帽子，也不要這樣逗弄我啊！我、我最怕這個……啊啊啊！
おう、お前も得真道の学園に招待されてたのか。えっ、その恰好は何だって？<br>いや、その……絶対似合うって、勧められたモンだから……。	"Oh, so they invited you to Umamichi too, huh? What's with my costume, you ask? Well, uh... they told me it would look amazing on me, so..."	喔！你也被得真道學園邀請了啊。啊？你說我這個裝扮是做什麼？不是，是那個……被說很合適所以就……。	喔，你也被得真道学园给招待了啊。啊？你说我这个装扮？不是的、是他们说很适合我所以……
お前の胸に、熱く燃える魂はあるか？<br>矛盾の波濤を超える気概はあるか！<br>いいだろう……ならば俺がお前の青春を、導こう！	Is there a blazing soul burning bright inside your heart? Do you have what it takes to turn the tide and face your problems head-on?! Excellent! I will watch over you every step of the way!	你內心是否有灼熱燃燒的靈魂呢？是否有跨越那名為矛盾的大浪的勇氣呢！很好……那麼就讓我來引導你的青春吧！	你的内心是否有那灼热燃烧的灵魂呢？是否有能跨越这矛盾大浪的气魄呢？很好……！就让我来引导你的青春吧！
あっしはほらこの通り、学がねえもんで、駆け引きとか難しい事は、とんとだぜ。<br>だから……そっちはお任せしとくよ。な、親分？	"I ain't much for thinkin', and I'd sooner bash someone's head in than try an' reason with 'em. So... how about I leave all the talkin' to you? You okay with that, right, boss?"	看我這樣，就知道我沒什麼學識，對交涉之類的難事一竅不通。所以就拜託你了。可以吧？老大。	看我这样，就知道我不善于思考，所以……交涉这么难的事就拜托你了！可以吧？老大。
まさか、あっしとおんなじような奴がいるとはね。ああ、天下ってな広えもんさ、親分！<br>おっかあにも見せてやりたかったよ。	"I never knew there were others out there who are just like me! The world's far bigger than people think. Isn't it, boss? Wish my mom was here to see it."	這世上竟然跟我一樣的傢伙啊。啊啊，世界真的很廣闊呢，老大！我也想讓媽媽看看呢。	这世间竟有和我一样的家伙啊。啊啊，这世界真的很大啊。老大！我也想让母亲看看呀。
ごっちゃごちゃと御託ばっか並べる奴ぁこちとら大っ嫌えなんよ、頭が痛くなっちまう！　……正直、勝てる気がしねえさ。	"Having to deal with folks who think they're better than everyone else pisses me off! Like, really makes me blow a fuse! Seriously, is there no way to shut 'em up?"	長篇大論不談正事的傢伙真讓人不爽啊。連頭都開始痛了起來！ ……但老實說，我沒有贏過他的感覺。	啰哩叭嗦长篇大论的家伙真让人不爽啊。头都开始痛了起来！……但老实说，我没有赢过他的感觉。
うへあっ？！　……親分かよ！？　あー驚いた。触られ慣れてねえからよわひゃあ！いや……まあ、嫌いじゃねえさ、うん。	"Eeek! B-Boss?! What's the big idea? Ugh, I always feel so weird when others touch m—Aagh! Aagh... umm... Actually, this ain't half bad."	啊啊？！老大啊！？嚇死我了。我還沒習慣被這麼摸所以才……啊啊！不是……我不排斥這種感覺。	啊啊？！是老大啊！？呼，我还以为是谁！我还没习惯被摸……啊啊！不是的……我并不讨厌这种感觉。
あっ、親分もこっちにいらしてたんで！？こりゃあ楽しくなってきそうだい！<br>だって、親分の周りはいつも飽きねえからよっ。	"Ahah! I'm so pumped you came too, boss! I thought I was gonna die of boredom here! Why? Because nothin' ever happens when you're not around!"	啊，老大也來這裡了！？終於可以變得有趣了！因為在老大的旁邊永遠都不會膩！	啊，老大也来啦！？终于可以变得有趣起来了。因为在老大旁边永远都这么开心的啊！
うふふ……そんなに夢中になって……。いいのよ、思うがままに遊ぶといいわ。ねえ、いい毛並みでしょう……テリオンは。	"Hehe... Are you having fun? My, I rarely see you get this excited. Yes, play and enjoy yourself to your heart's content. My lovely Beast truly is a special one, isn't he?"	呵呵呵……那麼入迷……。是啊，盡情地去玩樂吧。看，特立翁的這毛色很美吧……。	呵呵呵……没见过你那么开心过……是啊，尽情地玩乐吧。看，特力昂的毛色多么地美……
そう、来ていたのね。私の可愛い、可愛いお前。お腹は空かせてない？　痛いところはないかしら……そう、大丈夫？　ならいいのだけれど……。	"Come to see your mother, have you? Are you feeling hungry? Or are you in pain, perhaps? No? Well, if you're so sure..."	喔，你來了呀。我最可愛、最心愛的你。肚子餓了嗎？有沒有地方覺得痛呢？……沒事嗎？那就好了……。	啊，你来了呀。我那最最最可爱的你。肚子饿了吗？有没有地方感觉不舒服呢？……没事吗？那就好了……。
おーっす！　チョーシはどーヨ？　え、オレ？　オレはいつだって確乎不動（かっこふどう）！　バリバリ泰山北斗（たいざんほくと）だぜ……ヤンキー語、合ってる？	"Heya, what's shakin'? Huh, me? I'm right as rain every day! And enjoying being Mr. Big too, for once! Uh... maybe top dog sounds a bit better...? No? Top tiger?"	早啊！你說我覺得如何？我可是堅定不移！完完全全地泰山北斗啊！我這不良少年用語有用對嗎？	早啊！说我感觉如何？我可是坚韧不拔！可说是完全地泰山北斗啊！我这不良少年语气有用对吗？
選択されているアイテムを全て解除します。<BR><BR>よろしいですか？	Todos os itens vão ser desselecionados.<BR><BR>Prosseguir?	"解除目前所選擇的所有道具，
<BR><BR>是否執行？"	"解除目前所选择的所有道具，
<BR><BR>是否正确？"
解除する	OK	解除	解除
自動選択可能なアイテムを所持していません	There are no items available to be selected	沒有持有可自動選擇的道具。	没有持有可自动选择的道具。
最大カードLvに到達しました。<BR>カードLvの強化はできません。	This card has reached its maximum level.<BR>You cannot raise its level any further.	卡片等級已達最大值。<BR>無法繼續強化卡片等級。	已达卡片等级最大值。<BR>无法继续强化卡片等级。
最大スキルLvに到達しました。<BR>スキルLvの強化はできません。	This card has reached its maximum Skill level.<BR>You cannot raise its Skill level any further.	技能等級已達最大值。<BR>無法繼續強化技能等級。	已达技能等级最大值。<BR>无法继续强化技能等级。
HP強化の最大値に到達しました。<BR>HPの強化はできません。	This card has reached its maximum amount of Bonus HP.<BR>You cannot raise its HP with HP any further.	HP強化已達最大值。<BR>無法繼續強化HP。	HP强化已达最大值。<BR>无法继续强化HP。
ATK強化の最大値に到達しました。<BR>ATKの強化はできません。	This card has reached its maximum amount of Bonus ATK.<BR>You cannot raise its ATK any further.	ATK強化已達最大值。<BR>無法繼續強化ATK。	ATK强化已达最大值。<BR>无法继续强化ATK。
第１１章　ウォーモンガーズ	Chapter 11: Warmongers -The Moonlit War-	第11章　好戰者 -落月大戰-	第11章　好战者 -落月大战-
Normal	Normal	Normal	Normal
Battle	Battle	Battle	Battle
Event	Event	Event	Event
Gacha	Gacha	Gacha	Gacha
Title	Title	Title	Title
Other	Other	Other	Other
11/27（金）より、翻訳版（英・簡・繁）メインクエスト第10章「ウォーモンガーズ～序曲～ -残煙のフロントライン-」を公開中！	"Chapter 10: Warmongers ~Overture~ Smoke on the Front Lines will be released in English, Simplified Chinese, and Traditional Chinese on Fri, Nov. 27!"	從11/27（五）開始，公開翻譯版（英文、簡中、繁中）的主線任務第10章「好戰者～序曲～ -殘煙的前線-」！	"主线任务第10章""好战者～序曲～""翻译版（英、简、繁）自11/27（星期五）起登场！"
召喚ガチャにて期間限定「復刻 本編第10章開幕記念転光召喚」開催中！	"For a limited time only, the Main Story Chapter 10 Release Commemoration Transient Summon (Re-release), is now available!"	召喚轉蛋正在進行期間限定的「復刻 主線第10章開幕紀念轉光召喚」！	“复刻 主线第10章开启纪念转光召唤”在召唤扭蛋中限时登场！
ふっふっふ！<br>４周年特別交換所はこっちじゃい。さあ、どれにする、ワシを連れていくよなぁ？　ウンと言うまで離さんぞー！？	"Haha! The Fourth Anniversary Trading Post is this way! Now, make your choice! By which I mean, take me! You're leaving with this bear or not at all!"	呵呵呵！這裡是4週年特別交換所，來，你要選什麼，你會帶我走吧？在你答應前我不會放開你喔！？	哼哼哼！4周年特别兑换所在这边。来，你要哪个？你会带我走吧。你不答应我可不放你走哦！？
おう、どれに決めた？<br>ほらほら教えんかいっ。な、何故に隠すんじゃあ、お前ぇっ。いかんぞーうっ、ワシを除け者にするなーっ！	Come ooooon! Tell me what you chose! Don't you give me the cold shoulder! I'm begging you here!	喔，你決定好了嗎？快點跟我說，你在遮遮掩掩什麼啊？不行啊～不可以把我排除在外！	喔，你决定要哪个啦，来来快告诉我。你、你为什么要藏起来？不行，你不能丢下我！
ささ、４周年特別交換所はこちらで御座り申す。慎重に選ばれるがよろしくありましょう。	This way to the Fourth Anniversary Trading Post. I advise that you choose wisely.	來來，這裡是4週年特別交換所，請您慎重選擇吧。	来，4周年特别兑换所在此。请慎重作出你的选择吧。
はいっ、御命令確かに承り申した！<br>司令官殿の為、この犬田小文吾ヤスヨリ、これからも粉骨砕身の努力で励んでゆき申す！	"Mission accepted! I, Yasuyori Kobungo Inuta, will never cease to strive in service to my commander!"	是，得您所令！為了司令官大人，我犬田小文吾悌順未來也會為您鞠躬盡瘁、死而後已！	是，已收到阁下的命令！为了司令官阁下，本人犬田小文吾悌顺，今后也必将鞠躬尽瘁，死而后而！
４周年特別交換所へようこそ。やり直しは出来ないから、ようく考えなさい？	"Welcome to the Fourth Anniversary Trading Post! You only get one chance at this, so be sure to think very carefully!"	歡迎來到4週年特別交換所，因為這不能重來，你可要考慮清楚喔？	欢迎来到4周年特别兑换所。因为没法重选，记得先考虑清楚哦。
